,date,result,moves,speed,link,my_elo,opponent_elo,opponent_country,opponent_name,color
0,"Sep 1, 2020",draw,75,10 min,https://www.chess.com/analysis/game/live/5382837031,1764,1776,United States,poseidon314,white
1,"Sep 1, 2020",loss,16,10 min,https://www.chess.com/analysis/game/live/5382817380,1764,1759,Indonesia,heru007,black
2,"Aug 31, 2020",loss,85,15|10,https://www.chess.com/analysis/game/live/5379938973,1671,1679,Canada,hectordamasen,black
3,"Aug 31, 2020",loss,18,10 min,https://www.chess.com/analysis/game/live/5378401945,1773,1840,United States,ResentfulPawn,white
4,"Aug 31, 2020",win,36,10 min,https://www.chess.com/analysis/game/live/5377638551,1780,1783,Croatia,Dalmacija2,black
5,"Aug 31, 2020",win,18,10 min,https://www.chess.com/analysis/game/live/5377617012,1772,1777,Philippines,Dgxyron_Castle,white
6,"Aug 31, 2020",loss,20,10 min,https://www.chess.com/analysis/game/live/5377593268,1764,1821,United States,maasai22,white
7,"Aug 30, 2020",win,18,10 min,https://www.chess.com/analysis/game/live/5375134293,1771,1716,United States,d_weger,white
8,"Aug 30, 2020",loss,28,10 min,https://www.chess.com/analysis/game/live/5375106387,1764,1781,Egypt,medochefg,white
9,"Aug 30, 2020",win,76,10 min,https://www.chess.com/analysis/game/live/5374686265,1772,1744,Brazil,neuron2,black
10,"Aug 29, 2020",loss,50,10 min,https://www.chess.com/analysis/game/live/5370008629,1764,1688,United States,kris67,black
11,"Aug 29, 2020",win,22,10 min,https://www.chess.com/analysis/game/live/5369997354,1774,1678,United States,kris67,white
12,"Aug 29, 2020",loss,40,10 min,https://www.chess.com/analysis/game/live/5369958056,1768,1755,South Africa,Charldon,white
13,"Aug 29, 2020",loss,38,10 min,https://www.chess.com/analysis/game/live/5368484335,1777,1793,India,BHANWARLAL,black
14,"Aug 29, 2020",loss,48,10 min,https://www.chess.com/analysis/game/live/5368135636,1785,1770,Norway,Yngvis08,white
15,"Aug 28, 2020",win,33,10 min,https://www.chess.com/analysis/game/live/5365774130,1794,1907,Indonesia,PapaBean,black
16,"Aug 28, 2020",draw,80,10 min,https://www.chess.com/analysis/game/live/5363854274,1783,1742,Belgium,marco8020,black
17,"Aug 27, 2020",win,47,10 min,https://www.chess.com/analysis/game/live/5360899808,1784,1762,United States,dmg1979,black
18,"Aug 25, 2020",win,53,10 min,https://www.chess.com/analysis/game/live/5348712392,1776,1757,Brazil,aracatuba0110,white
19,"Aug 25, 2020",win,37,10 min,https://www.chess.com/analysis/game/live/5348677848,1768,1765,Brazil,aracatuba0110,black
20,"Aug 25, 2020",loss,24,10 min,https://www.chess.com/analysis/game/live/5348658008,1760,1773,Brazil,aracatuba0110,white
21,"Aug 25, 2020",draw,80,10 min,https://www.chess.com/analysis/game/live/5348596639,1768,1765,Brazil,aracatuba0110,black
22,"Aug 25, 2020",win,42,10 min,https://www.chess.com/analysis/game/live/5348521475,1768,1728,India,kalgargiri,white
23,"Aug 25, 2020",loss,13,10 min,https://www.chess.com/analysis/game/live/5348510861,1761,1752,India,markevans1107,white
24,"Aug 24, 2020",win,35,10 min,https://www.chess.com/analysis/game/live/5346167172,1770,1664,Colombia,alfonsovillamil,white
25,"Aug 24, 2020",win,35,10 min,https://www.chess.com/analysis/game/live/5346036397,1764,1776,United States,c1anatoliy,black
26,"Aug 24, 2020",win,46,10 min,https://www.chess.com/analysis/game/live/5345726306,1755,1665,Italy,ponica66,white
27,"Aug 24, 2020",loss,9,10 min,https://www.chess.com/analysis/game/live/5345722786,1749,1873,Chile,carsoval2019,black
28,"Aug 24, 2020",loss,37,10 min,https://www.chess.com/analysis/game/live/5345166158,1754,1694,Netherlands,adriaanko,white
29,"Aug 24, 2020",loss,66,10 min,https://www.chess.com/analysis/game/live/5345047542,1764,1777,Ukraine,ivan_buha,black
30,"Aug 24, 2020",win,29,10 min,https://www.chess.com/analysis/game/live/5344012378,1772,1752,United Kingdom,Ricky894,white
31,"Aug 24, 2020",loss,32,15|10,https://www.chess.com/analysis/game/live/5343273764,1701,1635,Ukraine,shaxmat0,black
32,"Aug 23, 2020",win,43,10 min,https://www.chess.com/analysis/game/live/5341102796,1764,1891,India,sanjaykgr,black
33,"Aug 23, 2020",loss,46,10 min,https://www.chess.com/analysis/game/live/5341060833,1753,1761,Montenegro,sasa1969,black
34,"Aug 23, 2020",win,29,10 min,https://www.chess.com/analysis/game/live/5340849460,1761,1878,Morocco,Jaffarnyo,white
35,"Aug 23, 2020",loss,49,10 min,https://www.chess.com/analysis/game/live/5340804678,1750,1808,Russia,MaraCuyaIsTheBest,error
36,"Aug 23, 2020",win,38,10 min,https://www.chess.com/analysis/game/live/5340048128,1757,1764,Russia,Dak33,black
37,"Aug 23, 2020",win,55,15|10,https://www.chess.com/analysis/game/live/5338640065,1739,1647,Iran,asgharmahmoudi1330,white
38,"Aug 23, 2020",win,34,15|10,https://www.chess.com/analysis/game/live/5338527085,1713,1606,Bulgaria,kechev123,white
39,"Aug 21, 2020",win,59,15|10,https://www.chess.com/analysis/game/live/5331302135,1686,1507,United States,CEOGoldMinesInc,white
40,"Aug 21, 2020",loss,32,15|10,https://www.chess.com/analysis/game/live/5331248407,1664,1708,France,faujas,white
41,"Aug 21, 2020",win,49,15|10,https://www.chess.com/analysis/game/live/5329435993,1705,1649,Myanmar,KoBlade,black
42,"Aug 20, 2020",win,72,15|10,https://www.chess.com/analysis/game/live/5327164773,1660,1534,Poland,Nowocinski,error
43,"Aug 20, 2020",win,19,15|10,https://www.chess.com/analysis/game/live/5326910924,1618,1514,Mexico,irvin_kirito,black
44,"Aug 20, 2020",win,26,15|10,https://www.chess.com/analysis/game/live/5326769908,1566,1505,Israel,MeAndNotYou23,white
45,"Aug 20, 2020",win,15,15|10,https://www.chess.com/analysis/game/live/5326750707,1489,1398,France,Gekkouga45,white
46,"Aug 20, 2020",win,17,15|10,https://www.chess.com/analysis/game/live/5326731370,1396,1247,United States,Himmy33,black
47,"Aug 20, 2020",loss,35,15|10,https://www.chess.com/analysis/game/live/5326661011,1283,1437,United States,waynevetter,black
48,"Aug 20, 2020",win,17,10 min,https://www.chess.com/analysis/game/live/5326611199,1748,1748,Ukraine,lc120p,black
49,"Aug 19, 2020",loss,55,10 min,https://www.chess.com/analysis/game/live/5322245086,1739,1775,Philippines,antonioambatali,white
50,"Aug 19, 2020",loss,22,10 min,https://www.chess.com/analysis/game/live/5321021668,1746,1753,Catalonia,HEISENBERG1961,white
51,"Aug 19, 2020",win,19,10 min,https://www.chess.com/analysis/game/live/5319747084,1754,1724,Israel,iaridy,white
52,"Aug 19, 2020",win,78,10 min,https://www.chess.com/analysis/game/live/5319417243,1746,1706,Greece,mikest63,white
53,"Aug 18, 2020",loss,27,10 min,https://www.chess.com/analysis/game/live/5317681815,1739,1688,Serbia,drgn12,black
54,"Aug 18, 2020",win,25,10 min,https://www.chess.com/analysis/game/live/5317283630,1749,1756,United States,KARENGEVORGYAN032,black
55,"Aug 18, 2020",win,49,10 min,https://www.chess.com/analysis/game/live/5317227009,1740,1765,United States,KARENGEVORGYAN032,white
56,"Aug 18, 2020",loss,28,10 min,https://www.chess.com/analysis/game/live/5317177161,1731,1774,United States,KARENGEVORGYAN032,black
